[GIN] 2025/07/20 - 11:30:10 | 200 |        49.2µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:10 | 200 |     259.409µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:12 | 200 |      54.365µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:12 | 200 |     525.774µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:14 | 200 |      51.049µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:14 | 200 |     274.554µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:16 | 200 |      54.316µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:16 | 200 |     662.824µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:18 | 200 |      62.943µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:18 | 200 |     256.375µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:20 | 200 |      61.936µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:20 | 200 |     258.805µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:22 | 200 |      49.079µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:22 | 200 |      280.22µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:24 | 200 |      57.401µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:24 | 200 |     334.381µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:26 | 200 |      46.931µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:26 | 200 |     235.151µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:28 | 200 |      46.183µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:28 | 200 |      220.71µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:30 | 200 |      51.034µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:30 | 200 |     245.622µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:32 | 200 |       59.74µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:32 | 200 |      253.69µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:34 | 200 |      51.222µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:34 | 200 |     252.488µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:36 | 200 |      59.849µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:36 | 200 |     632.616µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:38 | 200 |       52.91µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:38 | 200 |     223.263µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:40 | 200 |      57.953µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:40 | 200 |     285.982µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:42 | 200 |      47.228µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:42 | 200 |     250.785µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:44 | 200 |      83.691µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:44 | 200 |     309.351µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:46 | 200 |      46.338µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:46 | 200 |     217.677µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:48 | 200 |      58.646µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:48 | 200 |     217.344µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:50 | 200 |      52.872µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:50 | 200 |     250.287µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:52 | 200 |      50.536µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:52 | 200 |     304.723µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:54 | 200 |      57.362µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:54 | 200 |     348.442µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:56 | 200 |      49.482µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:56 | 200 |     257.561µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:30:58 | 200 |      57.552µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:30:58 | 200 |     260.983µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:00 | 200 |      55.129µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:00 | 200 |     329.811µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:02 | 200 |      49.661µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:02 | 200 |     264.075µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:04 | 200 |      53.392µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:04 | 200 |     255.897µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:06 | 200 |      47.575µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:06 | 200 |     316.091µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:08 | 200 |      75.126µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:08 | 200 |     324.158µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:10 | 200 |      48.272µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:10 | 200 |     229.646µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:12 | 200 |      51.891µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:12 | 200 |       248.6µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:14 | 200 |      56.823µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:14 | 200 |     293.774µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:16 | 200 |      81.322µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:16 | 200 |     337.496µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:18 | 200 |      50.194µs |       127.0.0.1 | GET      "/api/v1/agents"
[GIN] 2025/07/20 - 11:31:18 | 200 |     293.082µs |       127.0.0.1 | GET      "/api/v1/interfaces"
[GIN] 2025/07/20 - 11:31:20 | 200 |      49.815µs |       127.0.0.1 | GET      "/api/v1/agents"
